Hora,LOG M2,LOG M3
11:25:27.39,2.6508755555158012e-11,1.7077724374801805e-12
11:25:28.406,2.60256947858873e-11,1.7077724374801805e-12
11:25:29.39,2.7501941664836463e-11,1.7077724374801805e-12
11:25:30.453,2.6508755555158012e-11,1.7077724374801805e-12
11:25:31.406,2.7250209940366254e-11,1.7077724374801805e-12
11:25:32.39,2.7501941664836463e-11,1.7077724374801805e-12
11:25:33.39,2.9061925207322808e-11,1.7077724374801805e-12
11:25:34.406,2.8012402930380014e-11,1.7077724374801805e-12
11:25:35.406,2.879591458749019e-11,1.7077724374801805e-12
11:25:36.39,3.01507692451489e-11,1.7077724374801805e-12
11:25:37.39,3.042929572816662e-11,1.7077724374801805e-12
11:25:38.39,3.0710395180421267e-11,1.7077724374801805e-12
11:25:39.39,3.128040828641183e-11,1.7077724374801805e-12
11:25:40.39,3.0710395180421267e-11,1.7077724374801805e-12
11:25:41.39,3.215532660714573e-11,1.7077724374801805e-12
11:25:42.406,3.156937013798282e-11,1.7077724374801805e-12
11:25:43.421,3.1861001358537226e-11,1.7077724374801805e-12
11:25:44.453,3.1861001358537226e-11,1.7077724374801805e-12
11:25:45.421,3.2752158965889045e-11,1.7077724374801805e-12
11:25:46.406,3.3054716541579226e-11,1.7077724374801805e-12
11:25:47.39,3.3668242402539495e-11,1.7077724374801805e-12
11:25:49.031,3.4293155866282536e-11,1.7077724374801805e-12
11:25:49.406,3.590665703882138e-11,1.7077724374801805e-12
11:25:50.39,3.492966829716163e-11,1.7077724374801805e-12
11:25:51.406,3.557799498264754e-11,1.7077724374801805e-12
11:25:52.39,3.623835520614278e-11,1.7077724374801805e-12
11:25:53.39,3.657311753156961e-11,1.7077724374801805e-12
11:25:54.39,3.691097232115164e-11,1.7077724374801805e-12
11:25:55.39,3.725194814242455e-11,1.7077724374801805e-12
11:25:56.39,3.7596073826824375e-11,1.7077724374801805e-12
11:25:57.39,3.8293891444903585e-11,1.7077724374801805e-12
11:25:58.406,4.009562818177175e-11,1.7077724374801805e-12
11:25:59.39,4.0839839821585e-11,1.7077724374801805e-12
11:26:00.453,3.972862348992435e-11,1.7077724374801805e-12
11:26:01.406,4.009562818177175e-11,1.7077724374801805e-12
11:26:02.39,4.0839839821585e-11,1.7077724374801805e-12
11:26:03.39,4.121710969685836e-11,1.7077724374801805e-12
11:26:04.406,4.159786471211762e-11,1.7077724374801805e-12
11:26:05.406,4.3156384550530777e-11,1.7077724374801805e-12
11:26:06.39,4.3156384550530777e-11,1.7077724374801805e-12
11:26:07.39,4.3156384550530777e-11,1.7077724374801805e-12
11:26:08.39,4.3957406636259176e-11,1.7077724374801805e-12
11:26:09.39,4.4363475939945026e-11,1.7077724374801805e-12
11:26:10.406,4.6879890715207575e-11,1.7077724374801805e-12
11:26:11.39,4.602561311529931e-11,1.7077724374801805e-12
11:26:12.406,4.8636308747910054e-11,1.7077724374801805e-12
11:26:13.421,4.8636308747910054e-11,1.7077724374801805e-12
11:26:14.437,4.775002449102136e-11,1.7077724374801805e-12
11:26:15.421,5.0458533339854644e-11,1.7077724374801805e-12
11:26:16.421,4.953904325361861e-11,1.7077724374801805e-12
11:26:17.421,5.139509000556332e-11,1.7077724374801805e-12
11:26:19.078,5.0924658688601536e-11,1.7077724374801805e-12
11:26:19.39,5.0924658688601536e-11,1.7077724374801805e-12
11:26:20.39,5.139509000556332e-11,1.7077724374801805e-12
11:26:21.39,5.139509000556332e-11,1.7077724374801805e-12
11:26:22.39,5.2832619382734795e-11,1.7077724374801805e-12
11:26:23.39,5.2349030022115515e-11,1.7077724374801805e-12
11:26:24.39,5.3320676040448575e-11,1.7077724374801805e-12
11:26:25.406,5.6345167114971416e-11,1.7077724374801805e-12
11:26:26.39,5.481206438533699e-11,1.7077724374801805e-12
11:26:27.421,5.531840674085207e-11,1.7077724374801805e-12
11:26:28.39,5.531840674085207e-11,1.7077724374801805e-12
11:26:29.406,5.899622068266888e-11,1.7077724374801805e-12
11:26:30.468,5.954121539655055e-11,1.7077724374801805e-12
11:26:31.421,6.009124465730186e-11,1.7077724374801805e-12
11:26:32.421,5.899622068266888e-11,1.7077724374801805e-12
11:26:33.39,6.009124465730186e-11,1.7077724374801805e-12
11:26:34.453,6.009124465730186e-11,1.7077724374801805e-12
11:26:35.39,6.120659328139851e-11,1.7077724374801805e-12
11:26:36.421,6.177200695378425e-11,1.7077724374801805e-12
11:26:37.406,6.349978045653118e-11,1.7077724374801805e-12
11:26:38.39,6.291855206791046e-11,1.7077724374801805e-12
11:26:39.406,6.349978045653118e-11,1.7077724374801805e-12
11:26:40.437,6.349978045653118e-11,1.7077724374801805e-12
11:26:41.39,6.527588007694865e-11,1.7077724374801805e-12
11:26:42.421,6.710165750473787e-11,1.7077724374801805e-12
11:26:43.39,6.710165750473787e-11,1.7077724374801805e-12
11:26:44.468,6.961572679864646e-11,1.7077724374801805e-12
11:26:45.421,7.090785854834025e-11,1.7077724374801805e-12
11:26:46.421,7.222397344861502e-11,1.7077724374801805e-12
11:26:47.421,7.025882228288716e-11,1.7077724374801805e-12
11:26:49.062,7.156289047469733e-11,1.7077724374801805e-12
11:26:49.39,7.156289047469733e-11,1.7077724374801805e-12
11:26:50.421,7.289116336840233e-11,1.7077724374801805e-12
11:26:51.437,7.356451664874484e-11,1.7077724374801805e-12
11:26:52.421,7.702574472389905e-11,1.7077724374801805e-12
11:26:53.421,7.492994156038412e-11,1.7077724374801805e-12
11:26:54.437,7.63207100109231e-11,1.7077724374801805e-12
11:26:55.406,7.918016785706508e-11,1.7077724374801805e-12
11:26:56.39,7.63207100109231e-11,1.7077724374801805e-12
11:26:57.437,8.214675912967322e-11,1.7077724374801805e-12
11:26:58.421,8.064982440651285e-11,1.7077724374801805e-12
11:26:59.437,8.139485057036625e-11,1.7077724374801805e-12
11:27:00.453,8.367147833447209e-11,1.7077724374801805e-12
11:27:01.453,8.290561366255916e-11,1.7077724374801805e-12
11:27:02.39,8.444441790360533e-11,1.7077724374801805e-12
11:27:03.39,8.760824137043058e-11,1.7077724374801805e-12
11:27:04.453,8.444441790360533e-11,1.7077724374801805e-12
11:27:05.421,9.005865872817172e-11,1.7077724374801805e-12
11:27:06.421,8.841754793086599e-11,1.7077724374801805e-12
11:27:07.421,9.343282726350638e-11,1.7077724374801805e-12
11:27:08.421,9.257761467467154e-11,1.7077724374801805e-12
11:27:09.406,9.173023004730981e-11,1.7077724374801805e-12
11:27:10.406,9.173023004730981e-11,1.7077724374801805e-12
11:27:11.437,9.516702624587212e-11,1.7077724374801805e-12
11:27:12.437,9.782886409753667e-11,1.7077724374801805e-12
11:27:13.406,9.516702624587212e-11,1.7077724374801805e-12
11:27:14.421,9.693341355217675e-11,1.7077724374801805e-12
11:27:15.421,9.782886409753667e-11,1.7077724374801805e-12
11:27:16.406,1.0056515400500208e-10,1.7077724374801805e-12
11:27:17.39,1.0056515400500208e-10,1.7077724374801805e-12
11:27:19.078,1.0529676851538245e-10,1.7077724374801805e-12
11:27:19.406,1.0243173551435824e-10,1.7077724374801805e-12
